timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T16:22:36.994655,1724,move_up,432.5,179.5,dy=-20.5px
2026-06-12T16:22:38.542776,1740,move_left,374.0,179.5,dx=-58.5px
2026-06-12T16:22:40.351268,1748,move_right,413.0,185.5,dx=34.0px
2026-06-12T16:22:42.219667,1756,move_right,465.0,185.0,dx=49.0px
2026-06-12T16:22:49.356370,1848,move_left,368.5,189.0,dx=-90.5px
2026-06-12T16:22:50.781919,1856,move_right,401.0,186.0,dx=109.5px
2026-06-12T16:22:59.223156,1972,move_left,310.5,185.0,dx=-90.5px
2026-06-12T16:23:04.448283,1996,move_right,330.0,179.5,dx=23.0px
2026-06-12T16:23:06.918529,2008,move_right,427.5,179.5,dx=27.5px
2026-06-12T16:23:09.901920,2044,move_left,381.5,188.0,dx=-54.5px
2026-06-12T16:23:33.433908,2392,move_left,209.0,200.0,dx=-172.5px
2026-06-12T16:23:34.618830,2404,move_right,296.5,199.0,dx=87.5px
2026-06-12T16:23:47.514624,2592,move_right,350.0,193.5,dx=53.5px
2026-06-12T16:23:48.960987,2600,move_right,429.5,196.0,dx=61.5px
2026-06-12T16:23:54.190447,2668,move_left,391.0,203.5,dx=-38.5px
2026-06-12T16:23:58.385574,2716,move_right,464.5,206.5,dx=78.5px
2026-06-12T16:25:26.867031,4032,move_left,381.5,179.5,dx=-83.0px
2026-06-12T16:25:26.867252,4032,move_up,381.5,179.5,dy=-27.0px
2026-06-12T16:25:29.615268,4068,move_left,349.5,214.0,dx=-32.0px
2026-06-12T16:25:29.615537,4068,move_down,349.5,214.0,dy=34.5px
2026-06-12T16:25:34.256829,4128,blink,238.0,208.5,
2026-06-12T16:25:34.257108,4128,move_left,238.0,208.5,dx=-71.5px
2026-06-12T16:25:35.126571,4136,move_right,346.5,181.5,dx=108.5px
2026-06-12T16:25:35.126781,4136,move_up,346.5,181.5,dy=-27.0px
2026-06-12T16:25:36.047802,4140,move_left,319.5,219.0,dx=-27.0px
2026-06-12T16:25:36.047982,4140,move_down,319.5,219.0,dy=37.5px
2026-06-12T16:25:41.535262,4164,move_up,309.0,183.0,dy=-28.5px
2026-06-12T16:25:46.940524,4216,move_right,340.0,201.5,dx=21.5px
2026-06-12T16:25:48.764997,4224,move_right,399.0,190.0,dx=58.5px
2026-06-12T16:25:51.448015,4248,move_left,434.5,188.0,dx=-33.5px
2026-06-12T16:25:54.790085,4264,move_left,404.5,187.0,dx=-59.0px
2026-06-12T16:26:16.722621,4588,move_left,320.5,200.5,dx=-84.0px
2026-06-12T16:26:18.584795,4596,move_right,384.0,186.0,dx=49.5px
2026-06-12T16:26:20.118087,4604,blink,394.5,184.0,
2026-06-12T16:26:20.754643,4608,move_left,346.0,183.5,dx=-48.5px
2026-06-12T16:26:22.641815,4620,move_right,441.0,179.5,dx=98.0px
2026-06-12T16:26:24.579055,4640,move_left,328.0,188.0,dx=-126.0px
2026-06-12T16:26:26.792003,4668,move_right,370.5,221.5,dx=42.5px
2026-06-12T16:26:26.792226,4668,move_down,370.5,221.5,dy=33.5px
2026-06-12T16:26:29.922201,4708,move_right,447.0,207.0,dx=76.5px
2026-06-12T16:26:30.718367,4716,move_left,418.5,191.0,dx=-28.5px
2026-06-12T16:26:32.433836,4736,move_right,449.5,197.5,dx=31.0px
2026-06-12T16:26:38.553255,4824,move_left,321.0,209.5,dx=-128.5px
2026-06-12T16:26:39.039875,4828,move_up,298.5,179.5,dy=-30.0px
2026-06-12T16:26:41.524475,4848,move_left,257.5,183.0,dx=-33.5px
2026-06-12T16:26:42.456383,4852,move_right,287.0,181.0,dx=29.5px
2026-06-12T16:26:48.604645,4920,move_right,320.5,179.5,dx=27.0px
2026-06-12T16:26:51.965131,4956,smile,323.0,179.5,
2026-06-12T16:26:54.311676,4976,smile,415.5,179.5,
2026-06-12T16:26:54.311893,4976,move_right,415.5,179.5,dx=94.5px
2026-06-12T16:26:56.212965,4984,move_left,370.0,179.5,dx=-31.0px
2026-06-12T16:26:56.422872,4988,smile,370.0,179.5,
2026-06-12T16:26:57.228914,5000,smile,370.0,179.5,
2026-06-12T16:27:01.070936,5052,move_left,289.0,187.0,dx=-81.0px
2026-06-12T16:27:01.978268,5056,move_right,385.0,188.5,dx=96.0px
2026-06-12T16:27:02.893842,5060,move_left,327.5,194.5,dx=-57.5px
2026-06-12T16:27:03.804721,5064,move_right,441.0,184.0,dx=113.5px
2026-06-12T16:27:09.192590,5136,move_left,346.0,189.5,dx=-95.0px
2026-06-12T16:27:13.829511,5192,move_left,229.5,210.0,dx=-135.0px
2026-06-12T16:27:16.683775,5220,move_left,186.5,206.5,dx=-46.5px
2026-06-12T16:27:16.683938,5220,move_up,186.5,206.5,dy=-21.5px
2026-06-12T16:27:17.579282,5224,move_right,218.5,193.0,dx=32.0px
2026-06-12T16:27:19.042579,5232,move_right,313.0,203.5,dx=52.5px
2026-06-12T16:27:21.960513,5264,move_right,337.0,202.0,dx=24.0px
2026-06-12T16:27:28.082963,5316,move_left,276.0,196.5,dx=-71.0px
2026-06-12T16:27:28.637397,5320,blink,337.0,205.0,
2026-06-12T16:27:28.637596,5320,move_right,337.0,205.0,dx=61.0px
2026-06-12T16:27:29.442707,5332,blink,337.0,205.0,
2026-06-12T16:27:31.190851,5352,blink,448.0,202.0,
2026-06-12T16:27:31.190977,5352,move_right,448.0,202.0,dx=111.0px
2026-06-12T16:27:32.136070,5356,move_left,390.5,204.5,dx=-57.5px
2026-06-12T16:27:35.094506,5396,move_left,306.0,205.5,dx=-84.5px
2026-06-12T16:27:35.964441,5400,move_up,277.0,179.5,dy=-26.0px
2026-06-12T16:27:38.143930,5412,move_right,315.0,192.5,dx=21.5px
2026-06-12T16:27:42.995276,5460,move_left,223.5,182.5,dx=-70.5px
2026-06-12T16:28:00.448433,5720,smile,257.5,179.5,
2026-06-12T16:28:00.448645,5720,move_right,257.5,179.5,dx=34.0px
2026-06-12T16:28:01.475396,5732,smile,257.5,179.5,
2026-06-12T16:28:02.513602,5736,move_down,258.5,203.5,dy=24.0px
2026-06-12T16:28:05.409025,5764,move_right,325.5,202.0,dx=67.0px
