timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T15:56:12.774485,5688,move_right,367.0,200.0,dx=37.5px
2026-06-12T15:56:13.681893,5692,move_left,283.0,194.0,dx=-84.0px
2026-06-12T15:56:15.803541,5704,move_right,299.0,199.0,dx=52.5px
2026-06-12T15:56:21.323635,5808,move_left,333.0,204.0,dx=-32.0px
2026-06-12T15:56:24.889507,5832,move_left,286.0,204.5,dx=-39.5px
2026-06-12T15:57:35.849131,7660,move_left,254.5,179.5,dx=-42.0px
2026-06-12T15:57:36.751600,7664,move_right,292.0,185.5,dx=37.5px
2026-06-12T15:57:40.464334,7704,move_right,331.0,208.5,dx=32.0px
2026-06-12T15:57:42.697384,7744,blink,403.5,211.0,
2026-06-12T15:57:42.697545,7744,move_right,403.5,211.0,dx=61.5px
2026-06-12T15:57:43.568104,7748,move_left,349.5,203.0,dx=-54.0px
2026-06-12T15:57:48.345052,7808,move_right,372.0,192.0,dx=37.0px
2026-06-12T15:57:49.833032,7836,move_right,398.0,195.5,dx=26.0px
2026-06-12T15:57:50.718479,7840,move_left,341.5,194.5,dx=-56.5px
2026-06-12T15:57:51.643638,7844,blink,331.5,193.5,
2026-06-12T15:57:52.834547,7856,blink,328.0,194.0,
2026-06-12T15:57:53.665309,7868,blink,357.5,201.5,
2026-06-12T15:57:53.665462,7868,move_right,357.5,201.5,dx=29.5px
2026-06-12T15:57:54.053409,7880,blink,357.5,201.5,
