timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T14:51:35.630679,20,move_right,352.5,199.5,dx=40.0px
2026-06-12T14:51:36.500821,24,move_left,313.0,202.0,dx=-39.5px
2026-06-12T14:51:38.720564,52,move_left,160.5,205.0,dx=-152.5px
2026-06-12T14:51:43.916124,120,move_right,392.0,219.5,dx=231.5px
2026-06-12T14:53:28.787843,1716,move_left,362.5,209.0,dx=-29.5px
2026-06-12T14:53:37.060730,1836,smile,253.5,190.0,
2026-06-12T14:53:37.060952,1836,move_left,253.5,190.0,dx=-109.0px
2026-06-12T14:53:37.767684,1848,smile,253.5,190.0,
2026-06-12T14:53:39.901956,1864,move_right,294.0,201.0,dx=56.0px
2026-06-12T14:53:42.198414,1880,move_right,351.0,187.5,dx=61.5px
2026-06-12T14:53:46.075319,1920,move_left,282.5,190.0,dx=-57.5px
2026-06-12T14:53:49.952904,1972,blink,187.0,188.5,
2026-06-12T14:53:49.953116,1972,smile,187.0,188.5,
2026-06-12T14:53:49.954653,1972,move_left,187.0,188.5,dx=-95.5px
2026-06-12T14:53:50.551975,1976,move_right,274.5,179.5,dx=87.5px
2026-06-12T14:53:51.693976,1984,smile,249.0,179.5,
2026-06-12T14:53:52.410488,1996,smile,249.0,179.5,
2026-06-12T14:54:44.702244,2772,blink,386.0,222.0,
2026-06-12T14:54:44.702450,2772,move_right,386.0,222.0,dx=137.0px
2026-06-12T14:54:44.702565,2772,move_down,386.0,222.0,dy=42.5px
2026-06-12T14:54:45.532102,2780,move_left,319.5,220.5,dx=-66.5px
2026-06-12T14:54:47.603824,2808,move_up,331.0,179.5,dy=-41.0px
2026-06-12T14:54:51.469630,2860,move_down,347.5,222.0,dy=42.5px
2026-06-12T14:54:55.340941,2908,move_up,328.5,194.0,dy=-28.0px
2026-06-12T14:55:00.958025,2944,move_left,294.0,179.5,dx=-32.5px
2026-06-12T14:55:02.312396,2956,smile,450.5,179.5,
2026-06-12T14:55:02.312590,2956,move_right,450.5,179.5,dx=150.0px
2026-06-12T14:55:03.270260,2960,move_left,302.5,185.0,dx=-148.0px
