timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T14:24:48.101758,240,move_up,325.5,188.0,dy=-25.0px
2026-06-12T14:24:49.007855,244,move_left,247.5,188.5,dx=-78.0px
2026-06-12T14:24:51.987426,264,move_right,370.0,196.5,dx=122.5px
2026-06-12T14:24:55.376287,300,move_right,462.5,179.5,dx=68.5px
2026-06-12T14:24:58.994623,340,move_left,330.0,189.0,dx=-132.5px
2026-06-12T14:25:00.712605,356,move_right,446.0,182.0,dx=116.0px
2026-06-12T14:25:03.260318,380,move_left,287.5,199.0,dx=-158.5px
2026-06-12T14:25:06.823744,424,blink,268.0,200.5,
2026-06-12T14:25:07.761334,428,move_right,344.5,196.0,dx=76.5px
2026-06-12T14:25:08.701179,432,move_left,297.5,202.0,dx=-47.0px
2026-06-12T14:25:10.559877,440,move_right,304.0,202.5,dx=22.5px
2026-06-12T14:25:15.267084,472,move_right,352.0,201.0,dx=48.5px
2026-06-12T14:25:16.214899,476,move_left,162.5,193.5,dx=-189.5px
2026-06-12T14:25:25.780096,616,move_right,222.0,186.5,dx=59.5px
2026-06-12T14:26:47.837116,1856,move_right,276.5,179.5,dx=54.5px
2026-06-12T14:26:48.400888,1860,move_left,189.0,184.5,dx=-87.5px
2026-06-12T14:26:51.945921,1904,move_right,344.5,182.0,dx=155.5px
2026-06-12T14:26:52.859729,1908,move_left,288.0,185.0,dx=-56.5px
2026-06-12T14:27:07.175686,2076,move_left,189.5,215.0,dx=-125.0px
2026-06-12T14:27:07.175885,2076,move_down,189.5,215.0,dy=33.5px
