timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T15:58:55.668843,256,move_left,280.5,218.0,dx=-94.5px
2026-06-12T15:58:56.538880,260,move_right,307.0,219.5,dx=26.5px
2026-06-12T15:59:00.568008,312,move_left,237.0,179.5,dx=-72.5px
2026-06-12T15:59:00.568186,312,move_up,237.0,179.5,dy=-41.5px
2026-06-12T15:59:01.445379,316,move_right,273.5,185.5,dx=36.5px
2026-06-12T15:59:03.430463,336,move_right,404.0,182.5,dx=141.0px
2026-06-12T15:59:10.448174,436,move_left,336.5,200.0,dx=-67.5px
2026-06-12T15:59:11.334287,440,move_right,383.0,216.5,dx=46.5px
2026-06-12T15:59:33.431920,1004,smile,294.5,189.5,
2026-06-12T15:59:33.432144,1004,move_left,294.5,189.5,dx=-88.5px
2026-06-12T15:59:33.432273,1004,move_up,294.5,189.5,dy=-27.0px
2026-06-12T15:59:35.222957,1012,move_right,317.0,192.5,dx=25.0px
2026-06-12T15:59:44.678813,1212,move_left,312.5,200.5,dx=-25.5px
